tbpkid,batch,lc,prov,cnty,lc_prov,lc_cnty
121255,1409,LC328,61,610429,61,610104
121256,1409,LC106,32,320504,32,320500
121257,1409,LC115,41,410721,31,310106
121258,1409,LC330,34,342622,61,610113
121259,1409,LC324,15,150105,15,150100
121260,1409,LC159,44,441426,44,440303
121261,1409,LC022,33,332528,33,330100
121262,1409,LC199,37,370211,37,371500
121263,1409,LC199,37,370982,37,371500
121264,1409,LC115,31,310113,31,310106
121265,1409,LC115,44,440582,31,310106
121266,1409,LC001,61,610322,61,610103
121267,1409,LC091,61,612321,61,610700
121268,1409,LC200,37,370684,37,370600
121269,1409,LC320,32,320321,32,320100
121270,1409,LC004,61,610303,61,610300
121271,1409,LC165,13,130182,13,130100
121272,1409,LC028,53,532101,53,530100
121273,1409,LC003,61,610525,61,610114
121274,1409,LC113,61,610424,61,610400
121275,1409,LC001,61,610326,61,610103
121276,1409,LC320,37,371427,32,320100
121277,1409,LC091,61,612327,61,610700
121278,1409,LC004,61,610326,61,610300
121279,1409,LC165,13,130525,13,130100
121280,1409,LC324,15,150105,15,150100
121281,1409,LC165,13,130182,13,130100
121282,1409,LC022,14,141034,33,330100
121283,1409,LC200,37,371002,37,370600
121284,1409,LC002,61,612501,61,611000
121285,1409,LC334,61,612401,33,330326
121286,1409,LC165,62,620103,13,130100
121287,1409,LC320,50,500228,32,320100
121288,1409,LC160,61,610430,61,610103
121289,1409,LC334,61,612401,33,330326
121290,1409,LC115,32,320683,31,310106
121291,1409,LC160,61,610528,61,610103
121292,1409,LC033,61,612401,61,610900
121293,1409,LC057,36,360103,36,360100
121294,1409,LC320,50,500381,32,320100
121295,1409,LC165,13,130102,13,130100
121296,1409,LC115,31,310230,31,310106
121297,1409,LC160,61,610526,61,610103
121298,1409,LC115,31,310107,31,310106
121299,1409,LC001,61,610203,61,610103
121300,1409,LC033,42,421302,61,610900
121301,1409,LC199,37,370622,37,371500
121302,1409,LC056,62,620102,62,620100
121303,1409,LC326,13,131122,44,440300
121304,1409,LC165,13,130121,13,130100
121305,1409,LC160,61,612723,61,610103
121306,1409,LC002,61,612522,61,611000
121307,1409,LC115,31,310115,31,310106
121308,1409,LC169,61,610221,61,610200
121309,1409,LC158,41,413029,44,441900
121310,1409,LC018,14,140828,14,140800
121311,1409,LC004,61,610324,61,610300
121312,1409,LC160,61,610429,61,610103
121313,1409,LC091,61,612327,61,610700
121314,1409,LC163,13,130706,61,610113
121315,1409,LC165,13,130104,13,130100
121316,1409,LC163,61,612423,61,610113
121317,1409,LC056,62,620102,62,620100
121318,1409,LC091,61,612324,61,610700
121319,1409,LC115,31,310113,31,310106
121320,1409,LC033,61,612426,61,610900
121321,1409,LC091,41,410422,61,610700
121322,1409,LC334,61,610126,33,330326
121323,1409,LC115,31,310230,31,310106
121324,1409,LC115,31,310108,31,310106
121325,1409,LC020,32,320311,32,320300
121326,1409,LC334,61,610102,33,330326
121327,1409,LC165,13,130122,13,130100
121328,1409,LC004,61,610326,61,610300
121329,1409,LC115,37,372927,31,310106
121330,1409,LC169,61,610221,61,610200
121331,1409,LC002,61,612501,61,611000
121332,1409,LC115,31,310112,31,310106
121333,1409,LC001,61,610523,61,610103
121334,1409,LC106,61,610502,32,320500
121335,1409,LC091,61,612325,61,610700
121336,1409,LC001,53,532901,61,610103
121337,1409,LC091,61,612325,61,610700
121338,1409,LC165,13,130185,13,130100
121339,1409,LC001,61,610104,61,610103
121340,1409,LC334,61,612401,33,330326
121341,1409,LC159,44,441402,44,440303
121342,1409,LC113,61,610426,61,610400
121343,1409,LC115,31,310112,31,310106
121344,1409,LC169,61,610221,61,610200
121345,1409,LC165,13,132326,13,130100
121346,1409,LC056,62,622827,62,620100
121347,1409,LC091,61,612326,61,610700
121348,1409,LC001,61,610426,61,610103
121349,1409,LC165,13,130104,13,130100
121350,1409,LC116,61,612731,61,610800
121351,1409,LC004,61,610323,61,610300
121352,1409,LC004,61,610302,61,610300
121353,1409,LC165,13,133025,13,130100
121354,1409,LC016,41,410181,41,410100
121355,1409,LC334,61,610103,33,330326
121356,1409,LC165,13,130123,13,130100
121357,1409,LC056,62,622726,62,620100
121358,1409,LC339,44,441900,36,361100
121359,1409,LC165,13,130124,13,130100
121360,1409,LC327,34,342222,34,340100
121361,1409,LC091,61,612327,61,610700
121362,1409,LC349,62,622424,62,621100
121363,1409,LC091,61,612325,61,610700
121364,1409,LC282,62,620502,62,620500
121365,1409,LC115,31,310109,31,310106
121366,1409,LC115,31,310106,31,310106
121367,1409,LC112,62,620121,61,610500
121368,1409,LC200,37,370684,37,370600
121369,1409,LC326,44,440204,44,440300
121370,1409,LC282,62,620524,62,620500
121371,1409,LC001,61,610102,61,610103
121372,1409,LC091,61,612325,61,610700
121373,1409,LC160,61,610113,61,610103
121374,1409,LC056,62,620102,62,620100
121375,1409,LC033,61,612422,61,610900
121376,1409,LC326,44,441421,44,440300
121377,1409,LC158,61,612429,44,441900
121378,1409,LC030,43,430681,43,430100
121379,1409,LC056,62,620102,62,620100
121380,1409,LC091,61,612324,61,610700
121381,1409,LC165,13,130902,13,130100
121382,1409,LC091,61,612322,61,610700
121383,1409,LC165,13,130532,13,130100
121384,1409,LC018,14,142601,14,140800
121385,1409,LC159,61,610402,44,440303
121386,1409,LC030,43,430111,43,430100
121387,1409,LC115,31,310229,31,310106
121388,1409,LC115,31,310104,31,310106
121389,1409,LC033,61,612426,61,610900
121390,1409,LC056,62,620104,62,620100
121391,1409,LC056,62,620111,62,620100
121392,1409,LC018,14,142725,14,140800
121393,1409,LC091,61,612327,61,610700
121394,1409,LC091,61,612324,61,610700
121395,1409,LC112,61,610102,61,610500
121396,1409,LC349,62,620102,62,621100
121397,1409,LC056,62,620102,62,620100
121398,1409,LC033,61,612401,61,610900
121399,1409,LC115,31,310107,31,310106
121400,1409,LC002,61,612523,61,611000
121401,1409,LC116,61,612729,61,610800
121402,1409,LC160,61,612723,61,610103
121403,1409,LC113,13,130682,61,610400
121404,1409,LC113,61,610113,61,610400
121405,1409,LC091,61,612321,61,610700
121406,1409,LC328,61,610326,61,610104
121407,1409,LC005,61,612729,61,610800
121408,1409,LC002,61,612501,61,611000
121409,1409,LC002,61,612501,61,611000
121410,1409,LC113,61,610125,61,610400
121411,1409,LC031,13,130434,13,130400
121412,1409,LC091,61,612327,61,610700
121413,1409,LC010,61,610202,61,610400
121414,1409,LC113,61,610428,61,610400
121415,1409,LC165,61,610526,13,130100
121416,1409,LC115,31,310104,31,310106
121417,1409,LC091,61,612327,61,610700
121418,1409,LC020,32,320323,32,320300
121419,1409,LC334,61,610424,33,330326
121420,1409,LC004,61,610328,61,610300
121421,1409,LC256,61,610528,61,610429
121422,1409,LC320,32,320911,32,320100
121423,1409,LC282,62,620502,62,620500
121424,1409,LC002,61,612501,61,611000
121425,1409,LC056,62,620503,62,620100
121426,1409,LC033,61,612401,61,610900
121427,1409,LC056,62,622727,62,620100
121428,1409,LC056,62,620523,62,620100
121429,1409,LC031,13,130403,13,130400
121430,1409,LC033,61,612401,61,610900
121431,1409,LC334,61,610522,33,330326
121432,1409,LC005,61,612701,61,610800
121433,1409,LC115,31,310105,31,310106
121434,1409,LC004,61,610322,61,610300
121435,1409,LC005,61,612701,61,610800
121436,1409,LC200,37,370602,37,370600
121437,1409,LC320,41,412725,32,320100
121438,1409,LC033,61,612732,61,610900
121439,1409,LC001,33,330321,61,610103
121440,1409,LC030,43,430124,43,430100
121441,1409,LC001,61,610104,61,610103
121442,1409,LC200,37,371082,37,370600
121443,1409,LC113,61,610404,61,610400
121444,1409,LC056,62,620102,62,620100
121445,1409,LC030,42,421002,43,430100
121446,1409,LC091,61,612323,61,610700
121447,1409,LC001,61,612425,61,610103
121448,1409,LC018,14,142625,14,140800
121449,1409,LC056,62,620423,62,620100
121450,1409,LC200,37,370602,37,370600
121451,1409,LC339,61,610328,36,361100
121452,1409,LC282,62,620523,62,620500
121453,1409,LC112,61,610324,61,610500
121454,1409,LC115,31,310113,31,310106
121455,1409,LC115,31,310107,31,310106
121456,1409,LC163,14,140103,61,610113
121457,1409,LC091,61,612323,61,610700
121458,1409,LC282,62,622427,62,620500
121459,1409,LC282,62,622425,62,620500
121460,1409,LC113,32,320107,61,610400
121461,1409,LC349,62,620102,62,621100
121462,1409,LC091,61,612327,61,610700
121463,1409,LC001,61,610103,61,610103
121464,1409,LC018,14,142729,14,140800
121465,1409,LC282,62,620523,62,620500
121466,1409,LC345,33,330423,36,360400
121467,1409,LC282,62,622425,62,620500
121468,1409,LC018,14,142701,14,140800
121469,1409,LC023,33,330227,33,330200
121470,1409,LC199,37,371426,37,371500
121471,1409,LC159,44,441422,44,440303
121472,1409,LC282,62,620523,62,620500
121473,1409,LC282,62,620523,62,620500
121474,1409,LC282,62,620523,62,620500
121475,1409,LC200,37,370602,37,370600
121476,1409,LC010,61,612732,61,610400
121477,1409,LC091,61,612328,61,610700
121478,1409,LC160,61,610629,61,610103
121479,1409,LC282,62,620523,62,620500
121480,1409,LC282,62,620523,62,620500
121481,1409,LC028,53,530102,53,530100
121482,1409,LC163,13,130221,61,610113
121483,1409,LC091,61,612326,61,610700
121484,1409,LC091,61,612326,61,610700
121485,1409,LC282,62,620502,62,620500
121486,1409,LC004,61,610303,61,610300
121487,1409,LC282,62,620523,62,620500
121488,1409,LC091,61,612325,61,610700
121489,1409,LC160,61,610481,61,610103
121490,1409,LC004,61,610328,61,610300
121491,1409,LC282,62,622425,62,620500
121492,1409,LC165,13,130185,13,130100
121493,1409,LC056,61,610104,62,620100
121494,1409,LC282,62,622425,62,620500
121495,1409,LC091,61,612301,61,610700
121496,1409,LC091,61,612301,61,610700
121497,1409,LC001,15,152301,61,610103
121498,1409,LC091,61,612301,61,610700
121499,1409,LC160,32,320311,61,610103
121500,1409,LC091,61,612301,61,610700
121501,1409,LC112,61,612101,61,610500
121502,1409,LC282,62,620523,62,620500
121503,1409,LC016,41,410423,41,410100
121504,1409,LC160,61,610627,61,610103
121505,1409,LC115,31,310230,31,310106
121506,1409,LC001,61,612133,61,610103
121507,1409,LC091,61,612301,61,610700
121508,1409,LC091,61,612301,61,610700
121509,1409,LC091,61,612301,61,610700
121510,1409,LC091,61,612322,61,610700
121511,1409,LC091,61,612301,61,610700
121512,1409,LC091,61,612322,61,610700
121513,1409,LC116,41,410329,61,610800
121514,1409,LC001,61,610103,61,610103
121515,1409,LC115,41,410523,31,310106
121516,1409,LC004,61,612326,61,610300
121517,1409,LC005,61,612701,61,610800
121518,1409,LC091,61,612325,61,610700
121519,1409,LC116,61,612701,61,610800
121520,1409,LC091,61,612301,61,610700
121521,1409,LC340,53,532924,36,360900
121522,1409,LC091,61,612301,61,610700
121523,1409,LC091,61,612301,61,610700
121524,1409,LC091,61,612301,61,610700
121525,1409,LC091,61,612301,61,610700
121526,1409,LC345,51,513001,36,360400
121527,1409,LC056,62,620111,62,620100
121528,1409,LC001,61,612729,61,610103
121529,1409,LC159,64,640222,44,440303
121530,1409,LC199,37,371421,37,371500
121531,1409,LC028,53,530111,53,530100
121532,1409,LC112,61,610104,61,610500
121533,1409,LC056,62,622922,62,620100
121534,1409,LC112,61,610111,61,610500
121535,1409,LC016,41,410108,41,410100
121536,1409,LC159,44,440303,44,440303
121537,1409,LC159,43,432424,44,440303
121538,1409,LC116,61,612701,61,610800
121539,1409,LC056,61,610526,62,620100
121540,1409,LC004,61,610302,61,610300
121541,1409,LC056,62,620103,62,620100
121542,1409,LC016,41,410103,41,410100
121543,1409,LC010,61,610425,61,610400
121544,1409,LC113,61,610404,61,610400
121545,1409,LC023,33,330211,33,330200
121546,1409,LC001,61,612401,61,610103
121547,1409,LC016,41,410105,41,410100
121548,1409,LC005,61,612722,61,610800
121549,1409,LC091,61,612328,61,610700
121550,1409,LC001,61,612525,61,610103
121551,1409,LC056,62,620104,62,620100
121552,1409,LC172,44,440982,44,440106
121553,1409,LC004,61,610327,61,610300
121554,1409,LC010,61,610404,61,610400
121555,1409,LC091,61,612301,61,610700
121556,1409,LC091,61,612323,61,610700
121557,1409,LC004,61,610322,61,610300
121558,1409,LC091,61,612301,61,610700
121559,1409,LC003,41,411425,61,610114
121560,1409,LC091,61,612321,61,610700
121561,1409,LC113,61,610123,61,610400
121562,1409,LC091,61,612301,61,610700
121563,1409,LC115,31,310105,31,310106
121564,1409,LC116,61,612732,61,610800
121565,1409,LC031,13,130427,13,130400
121566,1409,LC091,61,612321,61,610700
121567,1409,LC165,34,340102,13,130100
121568,1409,LC091,61,612325,61,610700
121569,1409,LC091,61,612326,61,610700
121570,1409,LC091,61,610303,61,610700
121571,1409,LC159,61,610123,44,440303
121572,1409,LC001,61,612324,61,610103
121573,1409,LC115,31,310108,31,310106
121574,1409,LC004,61,610321,61,610300
121575,1409,LC115,31,310105,31,310106
121576,1409,LC115,31,310113,31,310106
121577,1409,LC159,43,431021,44,440303
121578,1409,LC334,41,412829,33,330326
121579,1409,LC116,61,612701,61,610800
121580,1409,LC115,34,341221,31,310106
121581,1409,LC115,22,220104,31,310106
121582,1409,LC115,31,310112,31,310106
121583,1409,LC282,62,620524,62,620500
121584,1409,LC282,62,620503,62,620500
121585,1409,LC282,62,620525,62,620500
121586,1409,LC091,61,612301,61,610700
121587,1409,LC282,62,620523,62,620500
121588,1409,LC010,61,610402,61,610400
121589,1409,LC113,61,610502,61,610400
121590,1409,LC113,61,610481,61,610400
121591,1409,LC199,37,371526,37,371500
121592,1409,LC159,41,413026,44,440303
121593,1409,LC115,31,310105,31,310106
121594,1409,LC091,61,612301,61,610700
121595,1409,LC116,61,612701,61,610800
121596,1409,LC200,37,370612,37,370600
121597,1409,LC004,61,610321,61,610300
121598,1409,LC004,61,610303,61,610300
121599,1409,LC113,43,432802,61,610400
121600,1409,LC115,34,342426,31,310106
121601,1409,LC200,37,370602,37,370600
121602,1409,LC006,61,610302,61,610300
121603,1409,LC004,61,610303,61,610300
121604,1409,LC200,37,370602,37,370600
121605,1409,LC003,61,610104,61,610114
121606,1409,LC004,41,410224,61,610300
121607,1409,LC116,41,412727,61,610800
121608,1409,LC056,62,620103,62,620100
121609,1409,LC091,61,612326,61,610700
121610,1409,LC200,37,370622,37,370600
121611,1409,LC116,61,612701,61,610800
121612,1409,LC172,42,422406,44,440106
121613,1409,LC001,61,610527,61,610103
121614,1409,LC004,61,610321,61,610300
121615,1409,LC115,31,310226,31,310106
121616,1409,LC056,62,620123,62,620100
121617,1409,LC113,61,610402,61,610400
121618,1409,LC158,51,510811,44,441900
121619,1409,LC159,42,429001,44,440303
121620,1409,LC056,62,620102,62,620100
121621,1409,LC031,51,511025,13,130400
121622,1409,LC004,61,610302,61,610300
121623,1409,LC113,61,610402,61,610400
121624,1409,LC115,31,310107,31,310106
121625,1409,LC115,31,310228,31,310106
121626,1409,LC115,31,310112,31,310106
121627,1409,LC115,43,432522,31,310106
121628,1409,LC033,61,612426,61,610900
121629,1409,LC006,62,622425,61,610300
121630,1409,LC056,62,620103,62,620100
121631,1409,LC004,61,610321,61,610300
121632,1409,LC113,61,610422,61,610400
121633,1409,LC004,61,610302,61,610300
121634,1409,LC199,37,371421,37,371500
121635,1409,LC159,52,520202,44,440303
121636,1409,LC115,31,310114,31,310106
121637,1409,LC159,61,610424,44,440303
121638,1409,LC159,42,420303,44,440303
121639,1409,LC158,34,340111,44,441900
121640,1409,LC091,61,612325,61,610700
121641,1409,LC091,61,612322,61,610700
121642,1409,LC200,61,610421,37,370600
121643,1409,LC056,62,620105,62,620100
121644,1409,LC199,37,371421,37,371500
121645,1409,LC200,37,370681,37,370600
121646,1409,LC159,43,430703,44,440303
121647,1409,LC113,61,610122,61,610400
121648,1409,LC159,44,440802,44,440303
121649,1409,LC016,41,410323,41,410100
121650,1409,LC016,41,410323,41,410100
121651,1409,LC199,37,372501,37,371500
121652,1409,LC113,61,610402,61,610400
121653,1409,LC165,41,412821,13,130100
121654,1409,LC056,62,620122,62,620100
121655,1409,LC115,31,310108,31,310106
121656,1409,LC115,31,310109,31,310106
121657,1409,LC056,62,620123,62,620100
121658,1409,LC004,61,610303,61,610300
121659,1409,LC199,37,371521,37,371500
121660,1409,LC115,31,310106,31,310106
121661,1409,LC115,31,310230,31,310106
121662,1409,LC115,31,310108,31,310106
121663,1409,LC028,14,142232,53,530100
121664,1409,LC115,14,142232,31,310106
121665,1409,LC113,61,610525,61,610400
121666,1409,LC159,43,433122,44,440303
121667,1409,LC116,61,612701,61,610800
121668,1409,LC091,51,513722,61,610700
121669,1409,LC030,43,430124,43,430100
121670,1409,LC010,61,610402,61,610400
121671,1409,LC004,61,610322,61,610300
121672,1409,LC001,61,610628,61,610103
121673,1409,LC116,61,612701,61,610800
121674,1409,LC113,61,610404,61,610400
121675,1409,LC004,61,610303,61,610300
121676,1409,LC023,33,330227,33,330200
121677,1409,LC113,61,610581,61,610400
121678,1409,LC056,62,622326,62,620100
121679,1409,LC158,61,612323,44,441900
121680,1409,LC056,62,620103,62,620100
121681,1409,LC113,61,610430,61,610400
121682,1409,LC199,32,320321,37,371500
121683,1409,LC004,61,610302,61,610300
121684,1409,LC004,61,610321,61,610300
121685,1409,LC004,61,610302,61,610300
121686,1409,LC340,32,321025,36,360900
121687,1409,LC004,61,610302,61,610300
121688,1409,LC113,61,612729,61,610400
121689,1409,LC116,61,610103,61,610800
121690,1409,LC056,62,620102,62,620100
121691,1409,LC056,62,620525,62,620100
121692,1409,LC002,61,612527,61,611000
121693,1409,LC004,61,610303,61,610300
121694,1409,LC004,61,610302,61,610300
121695,1409,LC004,61,610302,61,610300
121696,1409,LC172,46,460103,44,440106
121697,1409,LC165,13,130123,13,130100
121698,1409,LC056,62,620105,62,620100
121699,1409,LC023,33,330823,33,330200
121700,1409,LC339,42,422201,36,361100
121701,1409,LC056,62,620102,62,620100
121702,1409,LC004,61,610326,61,610300
121703,1409,LC004,61,610303,61,610300
121704,1409,LC113,61,610104,61,610400
121705,1409,LC113,61,610102,61,610400
121706,1409,LC200,37,370602,37,370600
121707,1409,LC200,37,370629,37,370600
121708,1409,LC006,61,610322,61,610300
121709,1409,LC091,61,612325,61,610700
121710,1409,LC115,31,310104,31,310106
121711,1409,LC056,62,620104,62,620100
121712,1409,LC172,44,440923,44,440106
121713,1409,LC004,61,610302,61,610300
121714,1409,LC115,34,340603,31,310106
121715,1409,LC199,37,371502,37,371500
121716,1409,LC023,33,330203,33,330200
121717,1409,LC115,31,310109,31,310106
121718,1409,LC115,31,310106,31,310106
121719,1409,LC115,65,652723,31,310106
121720,1409,LC115,31,310107,31,310106
121721,1409,LC001,62,620503,61,610103
121722,1409,LC172,42,420583,44,440106
121723,1409,LC004,61,610303,61,610300
121724,1409,LC004,61,610302,61,610300
121725,1409,LC004,65,652923,61,610300
121726,1409,LC091,61,612325,61,610700
121727,1409,LC338,33,330227,36,360100
121728,1409,LC159,61,610327,44,440303
121729,1409,LC200,37,370602,37,370600
121730,1409,LC115,31,310110,31,310106
121731,1409,LC115,31,310104,31,310106
121732,1409,LC113,61,610404,61,610400
121733,1409,LC004,61,610326,61,610300
121734,1409,LC023,33,330205,33,330200
121735,1409,LC115,31,310221,31,310106
121736,1409,LC001,61,610113,61,610103
121737,1409,LC115,31,310222,31,310106
121738,1409,LC115,31,310115,31,310106
121739,1409,LC001,61,610104,61,610103
121740,1409,LC091,61,612301,61,610700
121741,1409,LC031,13,130421,13,130400
121742,1409,LC115,31,310105,31,310106
121743,1409,LC115,31,310109,31,310106
121744,1409,LC115,31,310113,31,310106
121745,1409,LC115,31,310115,31,310106
121746,1409,LC004,61,610102,61,610300
121747,1409,LC004,61,610303,61,610300
121748,1409,LC056,62,620403,62,620100
121749,1409,LC023,33,330203,33,330200
121750,1409,LC333,32,320723,36,360100
121751,1409,LC115,31,310228,31,310106
121752,1409,LC115,31,310112,31,310106
121753,1409,LC333,32,320981,36,360100
121754,1409,LC005,61,612723,61,610800
121755,1409,LC115,32,321023,31,310106
121756,1409,LC115,31,310113,31,310106
121757,1409,LC115,31,310104,31,310106
121758,1409,LC115,31,310113,31,310106
121759,1409,LC333,32,320723,36,360100
121760,1409,LC005,61,610202,61,610800
121761,1409,LC200,37,371082,37,370600
121762,1409,LC160,61,610323,61,610103
121763,1409,LC002,61,612523,61,611000
121764,1409,LC002,61,612527,61,611000
121765,1409,LC113,61,610327,61,610400
121766,1409,LC158,41,412824,44,441900
121767,1409,LC159,51,511181,44,440303
121768,1409,LC056,61,610623,62,620100
121769,1409,LC057,36,360427,36,360100
121770,1409,LC004,61,610302,61,610300
121771,1409,LC115,31,310230,31,310106
121772,1409,LC115,31,310112,31,310106
121773,1409,LC115,31,310101,31,310106
121774,1409,LC334,61,610113,33,330326
121775,1409,LC004,61,610328,61,610300
121776,1409,LC200,37,370602,37,370600
121777,1409,LC113,61,610125,61,610400
121778,1409,LC113,61,610102,61,610400
121779,1409,LC115,33,330781,31,310106
121780,1409,LC326,44,445201,44,440300
121781,1409,LC023,33,330205,33,330200
121782,1409,LC001,61,610111,61,610103
121783,1409,LC159,44,445222,44,440303
121784,1409,LC165,13,130125,13,130100
121785,1409,LC004,61,610321,61,610300
121786,1409,LC200,37,370684,37,370600
121787,1409,LC004,61,610323,61,610300
121788,1409,LC004,61,610302,61,610300
121789,1409,LC115,31,310112,31,310106
121790,1409,LC282,62,620502,62,620500
121791,1409,LC334,61,610628,33,330326
121792,1409,LC339,43,430221,36,361100
121793,1409,LC018,14,142723,14,140800
121794,1409,LC282,62,620502,62,620500
121795,1409,LC115,31,310107,31,310106
121796,1409,LC115,31,310102,31,310106
121797,1409,LC004,61,610303,61,610300
121798,1409,LC282,62,620321,62,620500
121799,1409,LC282,62,620502,62,620500
121800,1409,LC010,61,610431,61,610400
121801,1409,LC057,44,440803,36,360100
121802,1409,LC112,61,610525,61,610500
121803,1409,LC091,61,612328,61,610700
121804,1409,LC326,51,511002,44,440300
121805,1409,LC160,61,610424,61,610103
121806,1409,LC172,34,341225,44,440106
121807,1409,LC056,62,620422,62,620100
121808,1409,LC333,36,360732,36,360100
121809,1409,LC338,23,232131,36,360100
121810,1409,LC328,61,610527,61,610104
121811,1409,LC001,61,610327,61,610103
121812,1409,LC282,62,620503,62,620500
121813,1409,LC113,61,610404,61,610400
121814,1409,LC033,61,612422,61,610900
121815,1409,LC256,61,610429,61,610429
121816,1409,LC005,61,612701,61,610800
121817,1409,LC006,61,610323,61,610300
121818,1409,LC022,33,332524,33,330100
121819,1409,LC338,35,350429,36,360100
121820,1409,LC282,62,620503,62,620500
121821,1409,LC016,61,612701,41,410100
121822,1409,LC199,37,370781,37,371500
121823,1409,LC326,61,612401,44,440300
121824,1409,LC163,14,140102,61,610113
121825,1409,LC163,14,141182,61,610113
121826,1409,LC018,14,142601,14,140800
121827,1409,LC199,13,130221,37,371500
121828,1409,LC004,61,610323,61,610300
121829,1409,LC048,36,360502,36,360500
121830,1409,LC163,51,510104,61,610113
121831,1409,LC326,15,152632,44,440300
121832,1409,LC199,21,210802,37,371500
121833,1409,LC331,34,340827,36,360700
121834,1409,LC115,33,330682,31,310106
121835,1409,LC004,61,610302,61,610300
121836,1409,LC338,62,620522,36,360100
121837,1409,LC320,32,320322,32,320100
121838,1409,LC160,61,610632,61,610103
121839,1409,LC115,31,310113,31,310106
121840,1409,LC326,43,431021,44,440300
121841,1409,LC160,62,620523,61,610103
121842,1409,LC115,36,362427,31,310106
121843,1409,LC160,61,610481,61,610103
121844,1409,LC160,61,612732,61,610103
121845,1409,LC160,61,610321,61,610103
121846,1409,LC160,62,622826,61,610103
121847,1409,LC160,61,612523,61,610103
121848,1409,LC320,34,341623,32,320100
121849,1409,LC320,36,362330,32,320100
121850,1409,LC256,61,610431,61,610429
121851,1409,LC115,31,310113,31,310106
121852,1409,LC022,33,330682,33,330100
121853,1409,LC160,61,610324,61,610103
121854,1409,LC160,61,610102,61,610103
121855,1409,LC325,45,452423,44,440600
121856,1409,LC320,34,340323,32,320100
121857,1409,LC320,61,612526,32,320100
121858,1409,LC163,62,622326,61,610113
121859,1409,LC022,33,332524,33,330100
121860,1409,LC199,37,372901,37,371500
121861,1409,LC199,37,371521,37,371500
121862,1409,LC115,31,310110,31,310106
121863,1409,LC024,64,640382,64,640100
121864,1409,LC160,61,610602,61,610103
121865,1409,LC001,61,610404,61,610103
121866,1409,LC160,61,612526,61,610103
121867,1409,LC320,51,510623,32,320100
121868,1409,LC160,61,612526,61,610103
121869,1409,LC160,61,610122,61,610103
121870,1409,LC160,61,612729,61,610103
121871,1409,LC004,62,620123,61,610300
121872,1409,LC160,61,610114,61,610103
121873,1409,LC004,62,622722,61,610300
121874,1409,LC320,37,372924,32,320100
121875,1409,LC160,61,610528,61,610103
121876,1409,LC115,31,310115,31,310106
121877,1409,LC115,35,350723,31,310106
121878,1409,LC199,37,372523,37,371500
121879,1409,LC326,42,422201,44,440300
121880,1409,LC199,37,371521,37,371500
121881,1409,LC199,37,370705,37,371500
121882,1409,LC160,61,612722,61,610103
121883,1409,LC320,34,340111,32,320100
121884,1409,LC115,31,310114,31,310106
121885,1409,LC199,37,371502,37,371500
121886,1409,LC326,44,441423,44,440300
121887,1409,LC326,51,511011,44,440300
121888,1409,LC033,61,612429,61,610900
121889,1409,LC115,36,362331,31,310106
121890,1409,LC337,51,510824,61,610113
121891,1409,LC326,44,445222,44,440300
121892,1409,LC199,37,372501,37,371500
121893,1409,LC115,41,412328,31,310106
121894,1409,LC325,41,413024,44,440600
121895,1409,LC160,62,622201,61,610103
121896,1409,LC160,51,511321,61,610103
121897,1409,LC115,31,310113,31,310106
121898,1409,LC326,41,412322,44,440300
121899,1409,LC033,61,612422,61,610900
121900,1409,LC115,32,320623,31,310106
121901,1409,LC115,42,422325,31,310106
121902,1409,LC115,34,342422,31,310106
121903,1409,LC009,61,612727,61,610600
121904,1409,LC330,61,612325,61,610113
121905,1409,LC338,51,510921,36,360100
121906,1409,LC320,43,430725,32,320100
121907,1409,LC160,61,610322,61,610103
121908,1409,LC022,33,332524,33,330100
121909,1409,LC004,61,610303,61,610300
121910,1409,LC160,61,610113,61,610103
121911,1409,LC199,37,370622,37,371500
121912,1409,LC318,61,610125,61,610125
121913,1409,LC199,34,341204,37,371500
121914,1409,LC158,44,441900,44,441900
121915,1409,LC160,61,612323,61,610103
121916,1409,LC338,33,330227,36,360100
121917,1409,LC056,62,620123,62,620100
121918,1409,LC329,61,610424,61,610400
121919,1409,LC320,61,610525,32,320100
121920,1409,LC320,32,321028,32,320100
121921,1409,LC018,14,142703,14,140800
121922,1409,LC344,36,360121,36,360100
121923,1409,LC002,61,612501,61,611000
121924,1409,LC004,61,610327,61,610300
121925,1409,LC016,41,410526,41,410100
121926,1409,LC016,37,370783,41,410100
121927,1409,LC339,42,421126,36,361100
121928,1409,LC004,61,610402,61,610300
121929,1409,LC022,33,330683,33,330100
121930,1409,LC160,61,610103,61,610103
121931,1409,LC320,51,510724,32,320100
121932,1409,LC344,36,360104,36,360100
121933,1409,LC322,44,440520,36,360300
121934,1409,LC338,36,360102,36,360100
121935,1409,LC115,31,310105,31,310106
121936,1409,LC115,31,310112,31,310106
121937,1409,LC022,33,330521,33,330100
121938,1409,LC322,35,350623,36,360300
121939,1409,LC115,31,310115,31,310106
121940,1409,LC115,31,310230,31,310106
121941,1409,LC115,31,310110,31,310106
121942,1409,LC115,31,310108,31,310106
121943,1409,LC115,31,310112,31,310106
121944,1409,LC334,61,610623,33,330326
121945,1409,LC320,52,522132,32,320100
121946,1409,LC113,61,610424,61,610400
121947,1409,LC200,37,370611,37,370600
121948,1409,LC115,31,310230,31,310106
121949,1409,LC115,31,310230,31,310106
121950,1409,LC333,33,330302,36,360100
121951,1409,LC115,22,222303,31,310106
121952,1409,LC161,41,410802,61,610103
