tbpkid,batch,lc,prov,cnty,lc_prov,lc_cnty
133105,1409,LC010,61,610402,61,610400
133106,1409,LC344,36,362330,36,360100
133107,1409,LC116,61,612723,61,610800
133108,1409,LC345,61,612323,36,360400
133109,1409,LC022,41,412726,33,330100
133110,1409,LC022,41,411528,33,330100
133111,1409,LC022,33,330382,33,330100
133112,1409,LC022,36,362326,33,330100
133113,1409,LC337,61,610326,61,610113
133114,1409,LC350,37,370281,37,370200
133115,1409,LC022,34,341223,33,330100
133116,1409,LC326,43,430525,44,440300
133117,1409,LC339,44,441522,36,361100
133118,1409,LC160,61,610126,61,610103
133119,1409,LC339,43,430481,36,361100
133120,1409,LC004,61,610322,61,610300
133121,1409,LC160,61,610124,61,610103
133122,1409,LC005,61,612701,61,610800
133123,1409,LC160,61,610115,61,610103
133124,1409,LC022,33,330124,33,330100
133125,1409,LC282,62,620525,62,620500
133126,1409,LC022,42,422823,33,330100
133127,1409,LC005,61,610502,61,610800
133128,1409,LC339,32,320682,36,361100
133129,1409,LC033,61,612429,61,610900
133130,1409,LC337,61,610125,61,610113
133131,1409,LC331,32,320481,36,360700
133132,1409,LC331,23,232324,36,360700
133133,1409,LC033,61,612429,61,610900
133134,1409,LC331,32,320922,36,360700
133135,1409,LC334,61,610103,33,330326
133136,1409,LC160,64,640321,61,610103
133137,1409,LC016,45,452402,41,410100
133138,1409,LC028,53,530126,53,530100
133139,1409,LC016,41,411202,41,410100
133140,1409,LC160,51,510525,61,610103
133141,1409,LC334,61,610582,33,330326
133142,1409,LC160,61,610302,61,610103
133143,1409,LC351,61,612731,61,610104
133144,1409,LC340,31,310109,36,360900
133145,1409,LC349,62,620102,62,621100
133146,1409,LC165,13,130124,13,130100
133147,1409,LC200,37,370611,37,370600
133148,1409,LC091,61,612326,61,610700
133149,1409,LC200,37,370686,37,370600
133150,1409,LC200,37,370684,37,370600
133151,1409,LC116,61,612729,61,610800
133152,1409,LC160,61,612325,61,610103
133153,1409,LC165,13,130425,13,130100
133154,1409,LC346,43,430581,44,440304
133155,1409,LC200,41,411325,37,370600
133156,1409,LC091,50,500227,61,610700
133157,1409,LC160,61,610502,61,610103
133158,1409,LC165,13,130425,13,130100
133159,1409,LC116,61,612701,61,610800
133160,1409,LC200,37,370611,37,370600
133161,1409,LC326,44,441422,44,440300
133162,1409,LC165,13,130425,13,130100
133163,1409,LC165,13,132121,13,130100
133164,1409,LC340,35,350425,36,360900
133165,1409,LC282,62,620503,62,620500
133166,1409,LC016,41,410182,41,410100
133167,1409,LC344,33,330329,36,360100
133168,1409,LC004,61,610303,61,610300
133169,1409,LC091,61,612301,61,610700
133170,1409,LC116,61,612701,61,610800
133171,1409,LC340,44,440523,36,360900
133172,1409,LC343,61,610582,61,610582
133173,1409,LC057,44,440181,36,360100
133174,1409,LC160,61,610121,61,610103
133175,1409,LC160,61,610526,61,610103
133176,1409,LC160,61,612323,61,610103
133177,1409,LC340,52,522226,36,360900
133178,1409,LC200,37,370682,37,370600
133179,1409,LC116,61,612701,61,610800
133180,1409,LC116,61,612724,61,610800
133181,1409,LC333,36,360781,36,360100
133182,1409,LC333,35,350621,36,360100
133183,1409,LC333,35,350425,36,360100
133184,1409,LC333,35,350621,36,360100
133185,1409,LC333,35,350681,36,360100
133186,1409,LC333,35,350628,36,360100
133187,1409,LC333,35,350681,36,360100
133188,1409,LC158,61,612401,44,441900
133189,1409,LC346,44,440223,44,440304
133190,1409,LC033,61,612429,61,610900
133191,1409,LC344,44,440623,36,360100
133192,1409,LC346,61,612424,44,440304
133193,1409,LC346,50,500241,44,440304
133194,1409,LC344,44,440623,36,360100
133195,1409,LC346,44,441481,44,440304
133196,1409,LC344,44,440681,36,360100
133197,1409,LC344,44,440681,36,360100
133198,1409,LC200,37,370625,37,370600
133199,1409,LC344,44,440623,36,360100
133200,1409,LC346,37,370404,44,440304
133201,1409,LC339,44,440301,36,361100
133202,1409,LC160,14,142729,61,610103
133203,1409,LC339,43,430422,36,361100
133204,1409,LC329,61,610481,61,610400
133205,1409,LC334,61,610523,33,330326
133206,1409,LC160,61,610632,61,610103
133207,1409,LC005,62,622723,61,610800
133208,1409,LC334,61,610528,33,330326
133209,1409,LC115,51,511002,31,310106
133210,1409,LC353,33,330683,33,330104
133211,1409,LC344,44,441228,36,360100
133212,1409,LC160,61,610630,61,610103
133213,1409,LC334,61,610423,33,330326
133214,1409,LC115,31,310229,31,310106
133215,1409,LC115,31,310230,31,310106
133216,1409,LC115,31,310113,31,310106
133217,1409,LC115,31,310113,31,310106
133218,1409,LC115,31,310222,31,310106
133219,1409,LC115,51,511321,31,310106
133220,1409,LC115,32,320324,31,310106
133221,1409,LC115,31,310225,31,310106
133222,1409,LC115,37,370406,31,310106
133223,1409,LC331,51,511221,36,360700
133224,1409,LC112,61,610522,61,610500
133225,1409,LC016,44,441522,41,410100
133226,1409,LC005,61,612701,61,610800
133227,1409,LC344,44,440681,36,360100
133228,1409,LC160,61,610630,61,610103
133229,1409,LC160,50,500236,61,610103
133230,1409,LC009,61,610623,61,610600
133231,1409,LC160,61,610203,61,610103
133232,1409,LC010,61,610402,61,610400
133233,1409,LC349,62,622424,62,621100
133234,1409,LC115,31,310221,31,310106
133235,1409,LC349,62,622427,62,621100
133236,1409,LC115,31,310104,31,310106
133237,1409,LC329,61,610424,61,610400
133238,1409,LC115,32,320223,31,310106
133239,1409,LC344,34,342531,36,360100
133240,1409,LC330,61,612525,61,610113
133241,1409,LC333,35,350627,36,360100
133242,1409,LC344,33,330282,36,360100
133243,1409,LC160,61,610114,61,610103
133244,1409,LC116,61,612728,61,610800
133245,1409,LC158,51,513822,44,441900
133246,1409,LC337,61,612401,61,610113
133247,1409,LC339,44,445224,36,361100
133248,1409,LC339,44,440307,36,361100
133249,1409,LC112,62,622825,61,610500
133250,1409,LC160,61,610404,61,610103
133251,1409,LC160,61,610112,61,610103
133252,1409,LC333,32,320683,36,360100
133253,1409,LC160,61,610103,61,610103
133254,1409,LC160,61,610104,61,610103
133255,1409,LC345,34,340104,36,360400
133256,1409,LC160,61,612527,61,610103
133257,1409,LC031,13,130421,13,130400
133258,1409,LC160,61,610113,61,610103
133259,1409,LC115,31,310102,31,310106
133260,1409,LC115,34,340222,31,310106
133261,1409,LC115,32,320981,31,310106
133262,1409,LC091,61,612325,61,610700
133263,1409,LC116,61,612723,61,610800
133264,1409,LC337,61,610322,61,610113
133265,1409,LC009,61,612731,61,610600
133266,1409,LC346,43,430304,44,440304
133267,1409,LC282,62,620503,62,620500
